Price,Close,High,Low,Open,Volume,SMA_20,RSI_14
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2020-01-02,72.4005126953125,72.46077614730521,71.15667416341765,71.40977771923563,135480400,,
2020-01-03,71.69664001464844,72.45595811976894,71.47246171476719,71.62914523544616,146322800,,
2020-01-06,72.26793670654297,72.3065062028637,70.56851011431775,70.81920816221287,118387200,,
2020-01-07,71.92807006835938,72.53311029879856,71.708710156977,72.27759377705218,108872000,,
2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200,,
2020-01-09,74.63750457763672,74.83034471463299,73.81069163960515,74.06138234642438,170108400,,
2020-01-10,74.80624389648438,75.37031642330658,74.30485508599608,74.87133314916862,140644800,,
2020-01-13,76.4043960571289,76.43091579547128,75.00387433033342,75.12199567251469,121532000,,
2020-01-14,75.37271881103516,76.55147571173875,75.24978634537415,76.3417600315841,161954400,,
2020-01-15,75.0497055053711,76.0524904138791,74.6182170498927,75.17264532410701,121923600,,
2020-01-16,75.98983001708984,76.10072010904894,75.23051169402191,75.59209254847153,108829200,,
2020-01-17,76.83108520507812,76.83349074089385,75.93195182564011,76.23808752279956,137816400,,
2020-01-21,76.31041717529297,76.90099467937888,76.17301471865545,76.459869381581,110843200,,
2020-01-22,76.5827865600586,77.13479440317133,76.48877205760677,76.79490770076272,101832400,,70.8686518913083
2020-01-23,76.95160675048828,77.03115126719418,76.0886300322076,76.63582686293465,104472000,,71.90281587228152
2020-01-24,76.72982788085938,77.93991520434014,76.53939333547534,77.19747280109205,146537600,,75.40167693961601
2020-01-27,74.47358703613281,75.15335327614349,73.49249613883003,74.74115326828117,161940000,,59.51355958417933
2020-01-28,76.58040618896484,76.75155238054386,75.25460987556971,75.3534428471521,162234000,,67.41262008117633
2020-01-29,78.18338775634766,79.02948893915872,77.46987057591716,78.209907499375,216229200,,68.46529395055083
2020-01-30,78.07012176513672,78.123153914912,76.83592703187314,77.26741555248192,126743200,75.21759452819825,63.87936012793493
2020-01-31,74.60857391357422,77.78324876217432,74.31448794421121,77.361404556077,199588400,75.32799758911133,49.36881796553238
2020-02-03,74.40365600585938,75.56794245428816,72.8512691703696,73.35265776488627,173788400,75.46334838867188,42.98747730378302
2020-02-04,76.86000061035156,77.05043515977154,75.60169956180454,76.00666815397705,136616400,75.69295158386231,54.739540558190235
2020-02-05,77.48676300048828,78.28465065522497,76.88412837567931,77.98573887898152,118826800,75.97088623046875,57.61871097983544
2020-02-06,78.39311981201172,78.39553270453209,77.19990767879175,77.75674147890366,105425600,76.23628692626953,57.5290426143181
2020-02-07,77.3275375366211,78.14181565091206,76.83703724788526,77.89294126547146,117684000,76.37078857421875,51.53373191994265
2020-02-10,77.69480895996094,77.69480895996094,75.83429386411699,75.91402717049185,109348800,76.51521682739258,54.317842513621834
2020-02-11,77.22607421875,78.26265171467769,77.00861231633205,78.19016687181822,94323200,76.55630073547363,51.982100282985904
2020-02-12,79.05998992919922,79.0648197921596,77.67547099896561,77.67547099896561,113730400,76.74066429138183,55.958402652184525
2020-02-13,78.49701690673828,78.82321339617904,78.12974813739189,78.33271303943899,94747600,76.9130298614502,54.899681222143954
2020-02-14,78.516357421875,78.76523186182376,78.00894143905393,78.4656106619056,80113600,77.03935623168945,62.79615748700809
2020-02-18,77.07865905761719,77.25987847546425,76.01791785904396,76.19913727689102,152531200,77.0517349243164,51.64682368569566
2020-02-19,78.19496154785156,78.42450907000605,77.32027709305024,77.32027709305024,93984000,77.14596214294434,50.03952523857143
2020-02-20,77.39277648925781,78.44385067885128,76.88777921917897,77.95576899229526,100566000,77.1864616394043,47.79077550918841
2020-02-21,75.64098358154297,77.42902110600791,75.02484049800245,76.98684158821678,129554000,77.12093048095703,53.79000058255995
2020-02-24,72.04802703857422,73.49778279969091,69.88547911921196,71.8257352845529,222195200,76.88684043884277,43.07502665633757
2020-02-25,69.60758972167969,73.09908711151304,69.13642361597664,72.71732141374063,230673600,76.64354057312012,28.659725864038336
2020-02-26,70.71180725097656,71.97551316759632,69.22580967000033,69.23305815092856,198054800,76.3501106262207,30.609481975913155
2020-02-27,66.08951568603516,69.10500967174747,65.95420576749399,67.92104419759342,320605600,75.74541702270508,20.962478374792752
2020-02-28,66.05084228515625,67.27105731603613,61.94562123770189,62.160671794936235,426510000,75.14445304870605,22.030327905768303
2020-03-02,72.20023345947266,72.83571074634416,67.10434419306169,68.20615768991611,341397200,75.02403602600097,39.409439706222734
2020-03-03,69.90719604492188,73.45426192334152,69.05666829287019,73.37452863350472,319475600,74.7992130279541,36.82005758341984
2020-03-04,73.14983367919922,73.30930768219956,70.82781196815235,71.62759322830975,219178400,74.61370468139648,39.87082773911147
2020-03-05,70.77706146240234,72.3790349760971,70.41220399588842,71.40528289969257,187572800,74.2782196044922,37.54192213932186
2020-03-06,69.8371353149414,70.26964775134793,67.95245619771107,68.13850549074616,226176800,73.85042037963868,36.39804551333971
2020-03-09,64.31358337402344,67.19376061426469,63.54762585590985,63.72884532127841,286744800,73.1997226715088,32.26588746453483
2020-03-10,68.9455337524414,69.21132371848606,65.0867678159455,66.96420578722295,285290000,72.76225891113282,38.29358875743587
2020-03-11,66.551025390625,67.9500415324096,65.68841908631278,67.02461750309321,255598800,72.22850646972657,36.80992630897361
2020-03-12,59.97880554199219,65.23900324323806,59.92323260860385,61.84174314573799,418474000,71.27444725036621,32.945704169995906
2020-03-13,67.16475677490234,67.6359302649127,61.119275269390535,64.00429300943405,370732000,70.70783424377441,45.06855605447502
2020-03-16,58.52421188354492,62.60043602101579,57.9902170129729,58.46138678881957,322423600,69.70822696685791,40.05291252732638
2020-03-17,61.09751892089844,62.245238140623194,57.60360714495798,59.80481901443847,324056000,68.90916996002197,41.593074502218
2020-03-18,59.60186767578125,60.406482464640554,57.29433930824816,57.93465023452481,300233600,67.97951526641846,43.998933236527634
2020-03-19,59.14519119262695,61.09269547807698,58.62086339938416,59.775834978401704,271857200,67.06713600158692,43.66129835685895
2020-03-20,55.39033126831055,60.84866031438535,55.09071377836536,59.72509749228031,401693200,66.05460338592529,33.86071565941823
2020-03-23,54.213600158691406,55.21151627155354,51.372080998658355,55.11003383943649,336752800,65.16288204193116,34.60243415846283
2020-03-24,59.65260314941406,59.8483195377774,56.612948896316425,57.11069765855371,287531200,64.66513271331787,37.3045276053896
2020-03-25,59.32399368286133,62.399890444761496,59.02920978154729,60.587696143364745,303602000,64.0957420349121,38.79643363973462
2020-03-26,62.44580841064453,62.50379627651141,59.52696661828964,59.56562765348039,252087200,63.91355667114258,43.06569635641208
2020-03-27,59.86040115356445,61.82481719246613,59.69367869443923,61.07094557233669,204216800,63.60403461456299,45.57840871877388
2020-03-30,61.568695068359375,61.740251079824446,60.26149806281595,60.585279571290975,167976400,63.07245769500732,42.224033144106016
2020-03-31,61.443050384521484,63.42438208826982,60.88972867869349,61.759583420299464,197002000,62.6492504119873,44.34517075196169
2020-04-01,58.21010208129883,60.09719995282628,57.78000823267317,59.56079010801558,176218400,61.90226383209229,47.88561301147753
2020-04-02,59.181434631347656,59.23459262853542,57.241178794751,58.07237254686632,165934000,61.32248249053955,38.790877160808314
2020-04-03,58.33091735839844,59.36749098851091,57.74134949209258,58.66677725772262,129880000,60.747171592712405,49.652607857749594
2020-04-06,63.419551849365234,63.57418859482583,60.25666962435699,60.62393834693367,201820400,60.702470016479495,53.827174652084466
2020-04-07,62.68499755859375,65.64975169679985,62.58110020442296,65.43228251516715,202887200,60.38944320678711,55.212387184383275
2020-04-08,64.2894058227539,64.6035165473233,63.1199373363336,63.48478743589154,168895200,60.27636222839355,58.37199320021749
2020-04-09,64.7533187866211,65.25590475851683,63.95837493137018,64.92487847473,161834800,60.515087890625,67.06592955026954
2020-04-13,66.02428436279297,66.13301897916537,64.23141674512242,64.8306516969401,131022800,60.458064270019534,71.4536513545021
2020-04-14,69.35868835449219,69.64864228665921,67.18405598474394,67.65522928105665,194994800,60.99978809356689,69.0903470546572
2020-04-15,68.72564697265625,69.18473466784468,67.80747158227939,68.23514673339383,131154400,61.381194496154784,68.2727537613705
2020-04-16,69.271728515625,69.63658597716727,68.22307301485074,69.43845097329417,157125200,61.864687538146974,64.74271471583899
2020-04-17,68.33179473876953,69.3345480225858,66.89653644635722,68.7884711835537,215250000,62.324017715454104,69.69663427007261
2020-04-20,66.9134521484375,68.06117506076643,66.8941253228232,67.15991526149827,130015200,62.90017375946045,62.59681168760177
2020-04-21,64.84516143798828,66.99080126610937,64.13478048479037,66.75642377646463,180991600,63.431751823425294,57.3456342202085
2020-04-22,66.71290588378906,67.14782951135057,65.77056644151477,66.11125243793057,116862400,63.78476696014404,69.50885616833415
2020-04-23,66.45440673828125,68.07813395489195,66.41574568861894,66.65737171862743,124814400,64.14128761291504,67.25143055691282
2020-04-24,68.37287902832031,68.38254612868516,66.93037215656294,66.97870028455014,126161200,64.43764114379883,72.67086340538684
2020-04-27,68.42119598388672,68.75222222241877,67.64316044289428,68.09016237151883,117087600,64.86568088531494,64.61873359484213
2020-04-28,67.31216430664062,69.06395271480235,67.22035262547978,68.88273322430287,112004800,65.15285434722901,63.23450854700855
2020-04-29,69.52303314208984,69.99178804731254,68.59519043374839,68.79815533490073,137280800,65.55685348510742,64.4672007720542
2020-04-30,70.98967742919922,71.16606696831562,69.67282086621682,70.06183497622997,183064000,66.19583225250244,66.33355286925996
2020-05-01,69.84683227539062,72.24617677792574,69.06879623052087,69.16544515946904,240616800,66.72910213470459,60.079220907238316
